name	version	description	private	main	types	repository	homepage	license	dependencies	devDependencies
@dotdo/example-ecommerce	0.1.0	E-commerce checkout example using dotdo	true						2	5
@dotdo/example-marketplace-escrow	0.1.0	Marketplace escrow example using dotdo - trust-free transactions with dispute resolution	true						2	5
@dotdo/example-observability	0.1.0	Observability example demonstrating structured logging, distributed tracing, and metrics collection using dotdo	true						3	5
@dotdo/example-primitive-git-ops	0.1.0	Git operations primitive example using dotdo - git without servers	true						2	5
@dotdo/example-rest-crud	0.1.0	REST CRUD API example using dotdo Durable Objects	true						2	5
@dotdo/example-saas-billing-cycle	0.1.0	SaaS billing cycle example using dotdo - subscriptions, usage metering, and dunning	true						2	5
@dotdo/example-scheduled-jobs	0.1.0	Scheduled jobs and task queue example using dotdo Durable Objects	true						2	5
@dotdo/example-websocket-chat	0.1.0	WebSocket real-time chat example using dotdo Durable Objects	true						2	5
@dotdo/example-workflow-event-choreography	0.1.0	Workflow event choreography example using dotdo - saga pattern with multiple DOs	true						2	5
@dotdo/fsx	0.1.0	Filesystem on Cloudflare Durable Objects - A virtual filesystem for the edge	false	dist/index.js	dist/index.d.ts	https://github.com/dot-do/fsx	https://github.com/dot-do/fsx#readme	MIT	8	8
@dotdo/integrations	0.0.1	Third-party integration registry for dotdo (Stripe, SendGrid, etc.)	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	0	1
@dotdo/mcp	0.0.1	Model Context Protocol tools for AI agents in dotdo	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	4	1
@dotdo/npmx	0.0.1	NPM/NPX capabilities for edge runtimes - package management without Node.js	false	dist/index.js	dist/index.d.ts			MIT	3	6
@dotdo/oauth	0.0.1	OAuth 2.1 + PKCE core for dotdo	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	2	2
@dotdo/observability	0.0.1	Observability tools for dotdo - logging, tracing, and metrics	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	1	2
@dotdo/rpc	0.0.1	Cap'n Web RPC for dotdo communication layers (Client-Worker, Worker-DO, DO-DO)	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	4	4
@dotdo/test-utils	0.0.1	Shared test utilities for @dotdo packages - DO stub helpers, factories, assertions	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	1	3
@dotdo/testing	0.0.1	Test utilities and custom assertion helpers for dotdo entities	false	./dist/index.js	./dist/index.d.ts			MIT	1	3
@dotdo/utils	0.0.1	Shared utilities for dotdo packages	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	1	1
bashx.do	0.1.0	AI-enhanced bash execution with safety, intent understanding, and intelligent recovery	false	dist/index.js	dist/index.d.ts	https://github.com/dot-do/bashx.git		MIT	5	13
dotdo	0.0.1	Digital Objects runtime framework for Cloudflare Durable Objects	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	11	1
gitx-monorepo	0.1.1	Git on Cloudflare - Monorepo containing @dotdo/gitx (core) and gitx.do (service)	true			https://github.com/dot-do/gitx	https://github.com/dot-do/gitx#readme	MIT	10	10
platform.do	0.0.1	Platform SDK for dotdo - typed $ context for platform services	false	./dist/index.js	./dist/index.d.ts				1	2
rpc.do	0.0.1	Cap'n Web RPC client/server for Durable Objects	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	3	6
sdk.do	0.0.1	Unified SDK for dotdo - re-exports rpc.do and @dotdo/oauth	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	2	2
